region,club,type,distance,date,route,rt_url,rtid,event_url,eid
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,120.0,2018/08/18,route 375 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=375,375,/cgi-bin/resultsearch_PF.pl?eid=9716&esortby=cert,9716
PA: Eastern,Pennsylvania Randonneurs / 938017,ACPB,200.0,2018/08/18,Midnight Express,/cgi-bin/routesearch_PF.pl?rtid=2267,2267,/cgi-bin/resultsearch_PF.pl?eid=9143&esortby=cert,9143
MD: Capital Region,DC Randonneurs / 946012,ACPB,200.0,2018/08/18,Reno 911,/cgi-bin/routesearch_PF.pl?rtid=664,664,/cgi-bin/resultsearch_PF.pl?eid=9328&esortby=cert,9328
VA: Tidewater,Tidewater Randonneurs / 946002,ACPB,200.0,2018/08/18,Suffolk-Drewryville 200,/cgi-bin/routesearch_PF.pl?rtid=1849,1849,/cgi-bin/resultsearch_PF.pl?eid=8993&esortby=cert,8993
MI: Detroit,Detroit Randonneurs / 922015,RUSAP,104.0,2018/08/18,104k Novi Populaire,/cgi-bin/routesearch_PF.pl?rtid=1416,1416,/cgi-bin/resultsearch_PF.pl?eid=9677&esortby=cert,9677
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200.0,2018/08/18,Before La Bella 200,/cgi-bin/routesearch_PF.pl?rtid=313,313,/cgi-bin/resultsearch_PF.pl?eid=8943&esortby=cert,8943
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,102.0,2018/08/18,Dakota County Frolic,/cgi-bin/routesearch_PF.pl?rtid=1760,1760,/cgi-bin/resultsearch_PF.pl?eid=9649&esortby=cert,9649
AL: Birmingham,Montgomery Bicycle Club / 901005,RUSAP,100.0,2018/08/18,BCLA Metric Century,/cgi-bin/routesearch_PF.pl?rtid=2117,2117,/cgi-bin/resultsearch_PF.pl?eid=8909&esortby=cert,8909
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,200.0,2018/08/18,Russian River 200,/cgi-bin/routesearch_PF.pl?rtid=645,645,/cgi-bin/resultsearch_PF.pl?eid=9048&esortby=cert,9048
TX: Houston,Houston Randonneurs / 943030,RUSAP,106.0,2018/08/18,Chappell Hill Loop,/cgi-bin/routesearch_PF.pl?rtid=1192,1192,/cgi-bin/resultsearch_PF.pl?eid=9729&esortby=cert,9729
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100.0,2018/08/18,Suffolk 100K,/cgi-bin/routesearch_PF.pl?rtid=2034,2034,/cgi-bin/resultsearch_PF.pl?eid=9710&esortby=cert,9710
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,100.0,2018/08/18,Seattle Highlights,/cgi-bin/routesearch_PF.pl?rtid=2296,2296,/cgi-bin/resultsearch_PF.pl?eid=9499&esortby=cert,9499
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100.0,2018/08/19,: Half Dirty Populairre,/cgi-bin/routesearch_PF.pl?rtid=2264,2264,/cgi-bin/resultsearch_PF.pl?eid=9717&esortby=cert,9717
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,100.0,2018/08/19,Donut Tour 102k,/cgi-bin/routesearch_PF.pl?rtid=2138,2138,/cgi-bin/resultsearch_PF.pl?eid=9746&esortby=cert,9746
TX: Brownsville,RGV Randos / 943005,RUSAP,109.0,2018/08/19,Harlingen TX HSC 109KM,/cgi-bin/routesearch_PF.pl?rtid=1907,1907,/cgi-bin/resultsearch_PF.pl?eid=9709&esortby=cert,9709
OH: Columbus,Ohio Randonneurs / 935012,RUSAP,100.0,2018/08/19,Randonneurs 101,/cgi-bin/routesearch_PF.pl?rtid=1857,1857,/cgi-bin/resultsearch_PF.pl?eid=9676&esortby=cert,9676
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,100.0,2018/08/19,Granger Flo,/cgi-bin/routesearch_PF.pl?rtid=1437,1437,/cgi-bin/resultsearch_PF.pl?eid=9712&esortby=cert,9712
CA: San Luis Obispo,San Luis Obispo Randonneurs / 905166,RUSAP,109.0,2018/08/19,Nikki's Quicky,/cgi-bin/routesearch_PF.pl?rtid=2308,2308,/cgi-bin/resultsearch_PF.pl?eid=9778&esortby=cert,9778
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100.0,2018/08/19,MayPearl Metric 101,/cgi-bin/routesearch_PF.pl?rtid=119,119,/cgi-bin/resultsearch_PF.pl?eid=9651&esortby=cert,9651
OH: Columbus,Ohio Randonneurs / 935012,RUSAB,200.0,2018/08/19,200k Rickenbacher-Hocking Hills Brevet,/cgi-bin/routesearch_PF.pl?rtid=1130,1130,/cgi-bin/resultsearch_PF.pl?eid=9707&esortby=cert,9707
CA: Davis,Davis Bike Club / 905014,RUSAB,200.0,2018/08/19,The Real McCOy,/cgi-bin/routesearch_PF.pl?rtid=2298,2298,/cgi-bin/resultsearch_PF.pl?eid=9591&esortby=cert,9591
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,ACPB,200.0,2018/08/25,Further North to Siren,/cgi-bin/routesearch_PF.pl?rtid=2180,2180,/cgi-bin/resultsearch_PF.pl?eid=9259&esortby=cert,9259
GA: Atlanta,Audax Atlanta / 910004,ACPB,200.0,2018/08/25,Secret Gaps 200k Brevet,/cgi-bin/routesearch_PF.pl?rtid=2145,2145,/cgi-bin/resultsearch_PF.pl?eid=9531&esortby=cert,9531
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,123.0,2018/08/25,Osceola 2 Luck,/cgi-bin/routesearch_PF.pl?rtid=2146,2146,/cgi-bin/resultsearch_PF.pl?eid=9258&esortby=cert,9258
CA: Santa Cruz,Santa Cruz Randonneurs / 905106,ACPB,1000.0,2018/08/26,California Central Coast Randonnee 1000k,/cgi-bin/routesearch_PF.pl?rtid=2299,2299,/cgi-bin/resultsearch_PF.pl?eid=8900&esortby=cert,8900
CA: Santa Cruz,Santa Cruz Randonneurs / 905106,RM,1211.0,2018/08/26,California Central Coast Randonnee 1200k,/cgi-bin/routesearch_PF.pl?rtid=2300,2300,/cgi-bin/resultsearch_PF.pl?eid=8901&esortby=cert,8901
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,200.0,2018/08/26,Channel Islands 200k,/cgi-bin/routesearch_PF.pl?rtid=1784,1784,/cgi-bin/resultsearch_PF.pl?eid=9588&esortby=cert,9588
IL: Chicago,Great Lakes Randonneurs / 913005,RM,1227.0,2018/08/30,Great Lakes Mac & Cheese,/cgi-bin/routesearch_PF.pl?rtid=2170,2170,/cgi-bin/resultsearch_PF.pl?eid=9077&esortby=cert,9077
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200.0,2018/09/01,MW 200 - In conjuction W/ 600 (Out to Tolar & Back),/cgi-bin/routesearch_PF.pl?rtid=129,129,/cgi-bin/resultsearch_PF.pl?eid=8944&esortby=cert,8944
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,100.0,2018/09/01,Fix My Bike Populaire,/cgi-bin/routesearch_PF.pl?rtid=2132,2132,/cgi-bin/resultsearch_PF.pl?eid=9024&esortby=cert,9024
NY: Central/Western,Rochester Bicycling Club / 932030,ACPB,600.0,2018/09/01,600LR_2 (Stuart's 600k),/cgi-bin/routesearch_PF.pl?rtid=1085,1085,/cgi-bin/resultsearch_PF.pl?eid=9564&esortby=cert,9564
