region,club,type,distance,date,route,rt_url,rtid,event_url,eid
MA: Boston,New England Randonneurs / 921005,RUSAP,109,2019/09/28,Old Stone House 100k,/cgi-bin/routesearch_PF.pl?rtid=2485,2485,/cgi-bin/resultsearch_PF.pl?eid=10457&esortby=cert,10457
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,300,2019/09/28,Old Cazadero 300,/cgi-bin/routesearch_PF.pl?rtid=958,958,/cgi-bin/resultsearch_PF.pl?eid=9996&esortby=cert,9996
GA: Atlanta,Audax Atlanta / 910004,RUSAB,200,2019/09/28,Bundrick's Revenge 200k,/cgi-bin/routesearch_PF.pl?rtid=100,100,/cgi-bin/resultsearch_PF.pl?eid=9807&esortby=cert,9807
MO: St. Louis,St Louis Randonneurs / 925006,ACPB,600,2019/09/28,route 118 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=118,118,/cgi-bin/resultsearch_PF.pl?eid=10539&esortby=cert,10539
TX: Dallas,Lone Star Randonneurs / 943026,RM,1200,2019/09/28,Hound Dog 1200k,/cgi-bin/routesearch_PF.pl?rtid=2475,2475,/cgi-bin/resultsearch_PF.pl?eid=10123&esortby=cert,10123
MO: St. Louis,St Louis Randonneurs / 925006,ACPB,400,2019/09/28,route 21 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=21,21,/cgi-bin/resultsearch_PF.pl?eid=10538&esortby=cert,10538
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,1000,2019/09/28,Hound Dog 1000k,/cgi-bin/routesearch_PF.pl?rtid=2451,2451,/cgi-bin/resultsearch_PF.pl?eid=10122&esortby=cert,10122
MO: St. Louis,St Louis Randonneurs / 925006,ACPB,300,2019/09/28,route 117 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=117,117,/cgi-bin/resultsearch_PF.pl?eid=10537&esortby=cert,10537
IN: Indianapolis,Indiana Randonneurs / 914005,ACPB,200,2019/09/28,Indianapolis Story Indianapolis,/cgi-bin/routesearch_PF.pl?rtid=1576,1576,/cgi-bin/resultsearch_PF.pl?eid=10608&esortby=cert,10608
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,600,2019/09/28,OK is OK 602,/cgi-bin/routesearch_PF.pl?rtid=616,616,/cgi-bin/resultsearch_PF.pl?eid=10121&esortby=cert,10121
LA: New Orleans,Crescent City Randonneurs / 918002,RUSAB,200,2019/09/28,route 529 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=529,529,/cgi-bin/resultsearch_PF.pl?eid=10965&esortby=cert,10965
MD: Capital Region,DC Randonneurs / 946012,RUSAP,100,2019/09/28,Palisades Poolesville Populaire,/cgi-bin/routesearch_PF.pl?rtid=2471,2471,/cgi-bin/resultsearch_PF.pl?eid=10733&esortby=cert,10733
NE: Omaha,Nebraska Sandhills Randonneurs / 927005,ACPB,400,2019/09/28,Falls City - Fairbury - Hiawatha 400k,/cgi-bin/routesearch_PF.pl?rtid=2476,2476,/cgi-bin/resultsearch_PF.pl?eid=9840&esortby=cert,9840
WI: Western,Driftless Randonneurs / 949007,ACPB,200,2019/10/05,Where Fledglings Dare 200K,/cgi-bin/routesearch_PF.pl?rtid=1999,1999,/cgi-bin/resultsearch_PF.pl?eid=10251&esortby=cert,10251
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,145,2019/10/05,Urbanneur,/cgi-bin/routesearch_PF.pl?rtid=2328,2328,/cgi-bin/resultsearch_PF.pl?eid=10340&esortby=cert,10340
PA: Pittsburgh,Western Pennsylvania Bicycle Club / 938016,RUSAB,300,2019/10/05,Washington PA - Meyersdale 300k,/cgi-bin/routesearch_PF.pl?rtid=930,930,/cgi-bin/resultsearch_PF.pl?eid=10993&esortby=cert,10993
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200,2019/10/05,VGV - Vail-Glenwood Springs-Vail,/cgi-bin/routesearch_PF.pl?rtid=1497,1497,/cgi-bin/resultsearch_PF.pl?eid=10504&esortby=cert,10504
CA: San Francisco,San Francisco Randonneurs / 905030,RUSAF,200,2019/10/05,?,,,/cgi-bin/resultsearch_PF.pl?eid=9997&esortby=cert,9997
LA: New Orleans,Crescent City Randonneurs / 918002,RUSAB,300,2019/10/05,route 527 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=527,527,/cgi-bin/resultsearch_PF.pl?eid=10966&esortby=cert,10966
OR: Portland,Oregon Randonneurs / 937020,ACPB,200,2019/10/05,Mt Adams SxSW Brevet,/cgi-bin/routesearch_PF.pl?rtid=271,271,/cgi-bin/resultsearch_PF.pl?eid=10477&esortby=cert,10477
CA: San Francisco,San Francisco Randonneurs / 905030,RUSAF,120,2019/10/05,?,,,/cgi-bin/resultsearch_PF.pl?eid=9998&esortby=cert,9998
MA: Boston,New England Randonneurs / 921005,RUSAB,200,2019/10/05,Cider Dreams,/cgi-bin/routesearch_PF.pl?rtid=2489,2489,/cgi-bin/resultsearch_PF.pl?eid=10786&esortby=cert,10786
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,102,2019/10/06,Santee populaire,/cgi-bin/routesearch_PF.pl?rtid=2206,2206,/cgi-bin/resultsearch_PF.pl?eid=9958&esortby=cert,9958
WI: Western,Driftless Randonneurs / 949007,RUSAP,100,2019/10/06,Spring Green Populaire,/cgi-bin/routesearch_PF.pl?rtid=1824,1824,/cgi-bin/resultsearch_PF.pl?eid=11228&esortby=cert,11228
IL: Quad Cities,Quad Cities Randonneurs / 913042,ACPB,200,2019/10/12,Giddyup to Galena,/cgi-bin/routesearch_PF.pl?rtid=2327,2327,/cgi-bin/resultsearch_PF.pl?eid=10602&esortby=cert,10602
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAP,150,2019/10/12,Brandywine 150,/cgi-bin/routesearch_PF.pl?rtid=2480,2480,/cgi-bin/resultsearch_PF.pl?eid=10047&esortby=cert,10047
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,200,2019/10/12,Marin Mountains II,/cgi-bin/routesearch_PF.pl?rtid=2481,2481,/cgi-bin/resultsearch_PF.pl?eid=9999&esortby=cert,9999
NE: Omaha,Nebraska Sandhills Randonneurs / 927005,ACPB,600,2019/10/12,Blue Hill 600K,/cgi-bin/routesearch_PF.pl?rtid=1645,1645,/cgi-bin/resultsearch_PF.pl?eid=9841&esortby=cert,9841
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300,2019/10/12,Peacocks and Buzzards 300K,/cgi-bin/routesearch_PF.pl?rtid=1617,1617,/cgi-bin/resultsearch_PF.pl?eid=10124&esortby=cert,10124
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2019/10/12,Brandywine 200K,/cgi-bin/routesearch_PF.pl?rtid=1626,1626,/cgi-bin/resultsearch_PF.pl?eid=10046&esortby=cert,10046
TX: Austin,Hill Country Randonneurs / 943025,RUSAB,300,2019/10/12,Lake Limestone Double Century,/cgi-bin/routesearch_PF.pl?rtid=2498,2498,/cgi-bin/resultsearch_PF.pl?eid=9829&esortby=cert,9829
