region,club,type,distance,date,finishers,dnf,eid
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,400.0,2018/03/31,0,,8925
NC: Asheville,Asheville International Randonneurs / 933011,RUSAP,104.0,2018/03/31,11,2.0,9612
WI: Western,Driftless Randonneurs / 949007,RUSAB,200.0,2018/03/31,0,,9678
WA: Seattle,Seattle International Randonneurs / 947018,ACPB,300.0,2018/03/31,53,7.0,9487
KY: Louisville,Louisville Bicycle Club / 917002,ACPB,300.0,2018/03/31,8,2.0,9301
AL: Birmingham,Montgomery Bicycle Club / 901005,ACPB,300.0,2018/03/31,5,0.0,8904
MD: Capital Region,DC Randonneurs / 946012,ACPB,300.0,2018/03/31,24,4.0,9320
MO: Kansas City,Audax Kansas City / 925005,RUSAP,149.0,2018/03/31,0,1.0,9645
AL: Birmingham,Montgomery Bicycle Club / 901005,RUSAP,100.0,2018/03/31,0,,8902
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,217.0,2018/03/31,6,0.0,8924
CA: San Diego,San Diego Randonneurs / 905140,RUSAB,406.0,2018/03/31,1,1.0,9680
MO: Kansas City,Audax Kansas City / 925005,ACPB,200.0,2018/03/31,17,1.0,9156
MD: Capital Region,DC Randonneurs / 946012,ACPB,200.0,2018/03/31,13,1.0,9319
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,100.0,2018/04/01,0,,9019
AZ: Tucson,PAC Tour / 949005,ACPB,600.0,2018/04/02,12,2.0,8886
IL: Quad Cities,Quad Cities Randonneurs / 913042,ACPB,200.0,2018/04/07,4,0.0,9452
CA: Fresno,Fresno Cycling Club / 905058,ACPB,300.0,2018/04/07,4,3.0,8997
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200.0,2018/04/07,0,,9205
MI: Detroit,Detroit Randonneurs / 922015,RUSAP,116.0,2018/04/07,28,1.0,9595
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,300.0,2018/04/07,0,,9398
OR: Portland,Oregon Randonneurs / 937020,ACPB,200.0,2018/04/07,15,1.0,9539
CA: Davis,Davis Bike Club / 905014,ACPB,400.0,2018/04/07,21,2.0,9440
MO: Kansas City,Audax Kansas City / 925005,ACPB,300.0,2018/04/07,0,,9157
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,102.0,2018/04/07,4,0.0,9675
IL: Quad Cities,Quad Cities Randonneurs / 913042,ACPB,300.0,2018/04/07,0,,9453
IN: Indianapolis,Indiana Randonneurs / 914005,RUSAP,100.0,2018/04/07,10,0.0,9370
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,300.0,2018/04/07,2,0.0,9206
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,600.0,2018/04/07,7,1.0,9400
WA: Seattle,Seattle International Randonneurs / 947018,ACPB,300.0,2018/04/07,18,2.0,9488
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,400.0,2018/04/07,4,0.0,9399
PA: Pittsburgh,Western Pennsylvania Bicycle Club / 938016,ACPB,300.0,2018/04/07,1,5.0,8986
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,100.0,2018/04/07,5,0.0,9396
CA: Santa Cruz,Santa Cruz Randonneurs / 905106,ACPB,300.0,2018/04/07,5,6.0,8897
MA: Boston,New England Randonneurs / 921005,RUSAP,100.0,2018/04/07,62,4.0,9509
NE: Omaha,Nebraska Sandhills Randonneurs / 927005,ACPB,200.0,2018/04/07,3,0.0,9149
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,400.0,2018/04/07,2,0.0,9207
TX: Austin,Hill Country Randonneurs / 943025,ACPB,600.0,2018/04/07,5,1.0,8971
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200.0,2018/04/07,0,,9397
VA: Tidewater,Tidewater Randonneurs / 946002,ACPB,300.0,2018/04/07,0,,8990
NC: Raleigh,North Carolina Bicycle Club / 933045,ACPB,200.0,2018/04/07,4,0.0,8978
MO: St. Louis,St Louis Cycling Club / 925034,ACPB,200.0,2018/04/08,0,,9268
